"Customer Reference","Component Name","Value","Footprint","Part Number","Quantity","Description"
"Soggy: C1, C2","C","0.1µF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1276-1099-1-ND","2","Unpolarized capacitor"
"Soggy: C3","C_Polarized_Small_US","22µF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","493-1037-ND","1","Polarized capacitor, small US symbol"
"Soggy: C4, C9, C16, C100","C_Small","0.1µF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1276-1099-1-ND","4","Unpolarized capacitor, small symbol"
"Soggy: C5","C_Polarized_Small_US","220µF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","493-15121-ND","1","Polarized capacitor, small US symbol"
"Soggy: C6","C_Polarized_Small","10µF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1276-1298-1-ND","1","Polarized capacitor, small symbol"
"Soggy: C7, C8","C_Small","33pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","732-7817-1-ND ","2","Unpolarized capacitor, small symbol"
"Soggy: CV1","C_Trim_Small","0-20pF","LeadedSolder:Tayda_Variable_Trimmer_Cap","","1","Trimmable capacitor, small symbol"
"Soggy: D1","D","D","Diode_THT:D_A-405_P7.62mm_Horizontal","641-1310-1-ND","1","Diode"
"Soggy: D2","LED","LED","LED_THT:LED_D3.0mm","1497-1022-ND","1","Light emitting diode"
"Soggy: F1","Fuse","2A","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2315-FCC20202AATPCT-ND","1","Fuse"
"Soggy: J1","USB-B1HSB6","USB-B1HSB6","USB-B1HSB6:OST_USB-B1HSB6","ED2983-ND","1",""
"Soggy: J2","RCJ-017","RCJ-014","Jacks:CUI_RCJ-017","CP-1403-ND‎","1",""
"Soggy: J3","RCJ-017","RCJ-013","Jacks:CUI_RCJ-017","CP-1402-ND‎","1",""
"Soggy: JOY1, JOY2","DB9_Female","DB9_Female","LeadedSolder:A-DS 09 A-KG-T2S","AE10968-ND","2","9-pin female D-SUB connector"
"Soggy: Q1","Q_NPN_EBC","2n4401","Package_TO_SOT_THT:TO-92_Inline_Wide","2N4401TFCT-ND","1","NPN transistor, emitter/base/collector"
"Soggy: Q1c1","Q_PNP_EBC","2n3906","Package_TO_SOT_THT:TO-92_Inline_Wide","641-1946-ND","1","PNP transistor, emitter/base/collector"
"Soggy: R1","R_Small_US","100Ω","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","RMCF0805JT100RCT-ND","1","Resistor, small US symbol"
"Soggy: R2, R9","R_Small_US","560Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RMCF0805JT560RCT-ND","2","Resistor, small US symbol"
"Soggy: R3","R_Small_US","47kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","RMCF0805JT47K0CT-ND","1","Resistor, small US symbol"
"Soggy: R4","R_Small_US","1kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","RMCF0805FT1K00CT-ND","1","Resistor, small US symbol"
"Soggy: R7","R_Small_US","0Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RMCF0805ZT0R00CT-ND","1","Resistor, small US symbol"
"Soggy: R8","R_Small_US","1MΩ","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","RMCF0805JT1M00CT-ND","1","Resistor, small US symbol"
"Soggy: R10, R12","R_Small_US","1kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RMCF0805FT1K00CT-ND","2","Resistor, small US symbol"
